25001;Diese Anbauteil ist seit 01/2006 auf dem Markt und hat sich für den Kopierer Copy-Fix-Maker C150 bestens bewährt
25002;Ist auch kompatibel mit Copy-Fix-Maker C280
25003;Ist auch kompatibel mit Copy-Fix-Maker C280
25004;Vermutlich ab 2011 nicht mehr lieferbar
25005;Ab 2010 unter dem Namen Anbauteil 122 neu im Programm
25006;
25007;
25008;
25009;
25010;"Normales Kopierpapier, beidseitig bedruckbar; für Tintenstrahldrucker, Laserdrucker, Kopiere und Faxgeräte geeignet."
25011;"Dickeres Kopierpapier, beidseitig bedruckbar; nicht für Faxgeräte geeignet."
25012;Auch für Monitore mit externer Stromversorgung geeignet.
25013;
25014;
25015;Überträgt auch Tonsignale
25016;Mit weißem Gehäuse
25017;Mit schwarzem Gehäuse
25018;Garantie gilt nicht für (Ersatz-)Akku
25019;
25020;
25021;Neuestes Modell der Firma. Kopiert bis zu 38 ppm (s/w) und 37,5 ppm (farbig)
